City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Kishni,IN,2022-02-01 20:14:23,27.0247,79.2634,54.37,72,0,6.62
155,Constitucion,CL,2022-02-01 20:14:23,-35.3333,-72.4167,67.37,63,5,7.47
156,Acapulco,MX,2022-02-01 20:12:29,16.8634,-99.8901,82.22,69,20,5.75
157,Chhindwara,IN,2022-02-01 20:14:24,22.0667,78.9333,60.84,44,4,3.83
158,Killybegs,IE,2022-02-01 20:14:24,54.6333,-8.45,49.44,95,100,22.08
159,Bredasdorp,ZA,2022-02-01 20:14:24,-34.5322,20.0403,75.6,76,3,3.06
160,Cuenca,EC,2022-02-01 20:14:25,-2.8833,-78.9833,69.93,46,75,11.5
161,Iqaluit,CA,2022-02-01 20:14:25,63.7506,-68.5145,-18.31,75,100,0.0
162,Kavaratti,IN,2022-02-01 20:14:25,10.5669,72.642,80.1,70,3,9.24
163,Ulaanbaatar,MN,2022-02-01 20:14:26,47.9077,106.8832,-27.27,68,0,2.24
164,Tezu,IN,2022-02-01 20:14:26,27.9167,96.1667,53.17,91,100,2.57
165,Road Town,VG,2022-02-01 20:14:26,18.4167,-64.6167,82.44,69,40,9.22
166,Puerto Narino,CO,2022-02-01 20:14:27,-3.7703,-70.3831,89.55,62,100,2.44
167,Poya,NC,2022-02-01 20:14:27,-21.35,165.15,77.94,81,43,4.34
168,Xining,CN,2022-02-01 20:14:27,36.6167,101.7667,12.2,73,88,2.08
169,Surgut,RU,2022-02-01 20:14:28,61.25,73.4167,-9.22,77,0,2.24
170,Puerto Ayora,EC,2022-02-01 20:14:28,-0.7393,-90.3518,82.36,77,81,7.52
171,Salto,UY,2022-02-01 20:14:28,-31.3833,-57.9667,91.87,39,0,1.99
172,Airai,TL,2022-02-01 20:14:28,-8.9266,125.4092,59.4,83,89,3.2
173,Maneadero,MX,2022-02-01 20:14:29,31.7167,-116.5667,60.19,76,38,5.99
174,Saint-Pierre,RE,2022-02-01 20:14:29,-21.3393,55.4781,80.24,88,75,28.77
175,Bengkulu,ID,2022-02-01 20:14:29,-3.8004,102.2655,73.35,87,100,6.67
176,Finschhafen,PG,2022-02-01 20:14:30,-6.6024,147.8681,79.11,85,100,8.48
177,Camden,US,2022-02-01 20:14:30,39.7835,-74.9663,40.05,64,100,1.01
178,Shimoda,JP,2022-02-01 20:15:30,34.6667,138.95,37.11,62,0,19.86
179,Katsuura,JP,2022-02-01 20:15:31,35.1333,140.3,39.31,44,58,12.01
180,Dikson,RU,2022-02-01 20:15:31,73.5069,80.5464,3.94,93,100,18.72
181,Olinda,BR,2022-02-01 20:15:31,-8.0089,-34.8553,83.93,70,20,8.05
182,Sao Joao Da Barra,BR,2022-02-01 20:15:32,-21.6403,-41.0511,86.09,82,92,5.08
183,Coronado,US,2022-02-01 20:11:19,32.6859,-117.1831,65.5,68,75,12.66
184,Namie,JP,2022-02-01 20:15:32,37.4833,141.0,36.97,71,35,9.37
185,Chapais,CA,2022-02-01 20:15:33,49.7834,-74.8492,15.58,81,100,17.34
186,Clyde River,CA,2022-02-01 20:15:33,70.4692,-68.5914,-18.17,63,75,4.61
187,Batouri,CM,2022-02-01 20:15:33,4.4333,14.3667,74.8,27,10,0.25
188,Ketchikan,US,2022-02-01 20:15:33,55.3422,-131.6461,33.78,80,0,3.44
189,Ravar,IR,2022-02-01 20:15:34,31.2656,56.8055,47.25,69,7,5.61
190,Mayor Pablo Lagerenza,PY,2022-02-01 20:15:34,-19.9309,-60.7718,91.96,36,100,2.04
191,Coihaique,CL,2022-02-01 20:15:34,-45.5752,-72.0662,68.61,37,75,10.36
192,Pevek,RU,2022-02-01 20:15:35,69.7008,170.3133,-13.92,90,98,2.21
193,Long Eaton,GB,2022-02-01 20:15:35,52.8985,-1.2714,54.09,77,75,19.57
194,Anadyr,RU,2022-02-01 20:15:36,64.75,177.4833,16.3,57,0,6.71
195,Lawrenceburg,US,2022-02-01 20:15:36,38.0373,-84.8966,60.15,60,94,10.98
196,Castro-Urdiales,ES,2022-02-01 20:15:36,43.3829,-3.2204,49.98,86,17,4.94
197,San Quintin,MX,2022-02-01 20:15:36,30.4833,-115.95,61.11,65,42,8.46
198,Huadian,CN,2022-02-01 20:15:37,42.9633,126.7478,-6.12,97,14,3.22
199,Nieuw Amsterdam,SR,2022-02-01 20:15:37,5.8833,-55.0833,86.16,71,20,16.11
200,Andenes,NO,2022-02-01 20:15:37,69.3143,16.1194,26.58,54,0,16.11
201,San-Pedro,CI,2022-02-01 20:15:38,4.7485,-6.6363,79.86,82,100,7.36
202,Chermoz,RU,2022-02-01 20:15:38,58.787,56.1489,27.23,90,100,13.58
203,Los Llanos De Aridane,ES,2022-02-01 20:15:38,28.6585,-17.9182,60.55,72,75,2.3
204,Rawson,AR,2022-02-01 20:15:39,-43.3002,-65.1023,78.91,35,56,2.59
205,Doume,CM,2022-02-01 20:15:39,4.2333,13.45,71.62,31,55,1.63
206,Kodiak,US,2022-02-01 20:15:39,57.79,-152.4072,38.71,93,100,9.22
207,Lar,IN,2022-02-01 20:15:40,26.2039,83.9717,53.51,74,0,4.54
208,Beloha,MG,2022-02-01 20:15:40,-25.1667,45.05,73.8,80,0,20.8
209,Zhigansk,RU,2022-02-01 20:15:40,66.7697,123.3711,-28.35,99,90,9.33
210,Soyo,AO,2022-02-01 20:15:41,-6.1349,12.3689,78.93,87,20,10.0
211,Sitka,US,2022-02-01 20:15:41,57.0531,-135.33,33.69,75,75,5.75
212,Phan Thiet,VN,2022-02-01 20:15:41,10.9333,108.1,71.22,85,14,8.14
213,Vila Franca Do Campo,PT,2022-02-01 20:15:41,37.7167,-25.4333,59.2,78,93,10.74
214,Faya,SA,2022-02-01 20:15:42,18.3851,42.4509,55.92,70,5,6.93
215,Nikolskoye,RU,2022-02-01 20:15:42,59.7035,30.7861,24.69,98,100,2.71
216,Rivers,CA,2022-02-01 20:15:42,50.0308,-100.2403,-3.05,88,100,20.62
217,Caramoran,PH,2022-02-01 20:15:43,13.9849,124.1347,76.66,88,100,16.62
218,Cascais,PT,2022-02-01 20:15:43,38.6979,-9.4215,60.06,45,0,5.01
219,Williston,US,2022-02-01 20:15:43,48.147,-103.618,9.01,69,80,8.01
220,Ihosy,MG,2022-02-01 20:15:44,-22.4,46.1167,65.84,90,14,11.5
221,Milkovo,RU,2022-02-01 20:15:44,54.7167,158.6167,21.87,91,100,16.46
222,Mezhdurechensk,RU,2022-02-01 20:15:44,53.6942,88.0603,-0.09,99,79,2.46
