City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
176,Cherskiy,RU,68.75,161.3,-28.86,99,16,3.36,few clouds,2022-02-04 02:51:07
177,Mecca,SA,21.4267,39.8261,70.65,87,43,3.24,scattered clouds,2022-02-04 02:52:57
178,Leningradskiy,RU,69.3833,178.4167,-9.36,82,2,7.96,clear sky,2022-02-04 02:53:33
179,Ostrovnoy,RU,68.0531,39.5131,12.72,96,100,4.45,overcast clouds,2022-02-04 02:53:34
180,Scarborough,GB,54.2797,-0.4044,43.09,87,100,1.99,overcast clouds,2022-02-04 02:53:34
181,Rocha,UY,-34.4833,-54.3333,69.96,98,100,3.71,moderate rain,2022-02-04 02:53:34
182,Devils Lake,US,48.1128,-98.8651,-2.06,79,75,8.99,broken clouds,2022-02-04 02:54:10
183,Meulaboh,ID,4.1363,96.1285,81.93,69,84,2.73,moderate rain,2022-02-04 02:52:06
184,Tirano,IT,46.2154,10.1679,45.46,81,27,4.05,scattered clouds,2022-02-04 02:54:35
185,Cockburn Town,TC,21.4612,-71.1419,75.78,70,1,19.84,clear sky,2022-02-04 02:54:35
186,Nabire,ID,-3.3667,135.4833,79.38,84,100,4.09,overcast clouds,2022-02-04 02:54:35
187,Zemio,CF,5.0314,25.1361,72.48,34,97,2.8,overcast clouds,2022-02-04 02:54:36
188,Salalah,OM,17.0151,54.0924,70.63,36,5,8.79,clear sky,2022-02-04 02:51:04
189,Lavrentiya,RU,65.5833,-171.0,1.08,56,0,22.12,clear sky,2022-02-04 02:53:36
190,Faanui,PF,-16.4833,-151.75,81.28,70,1,15.12,clear sky,2022-02-04 02:53:22
191,Hunterville,NZ,-39.9333,175.5667,91.24,23,9,9.55,clear sky,2022-02-04 02:54:36
192,Poum,NC,-20.2333,164.0167,82.42,85,89,14.05,light rain,2022-02-04 02:54:37
193,Avanigadda,IN,16.0215,80.9181,71.74,69,43,7.81,scattered clouds,2022-02-04 02:54:37
194,Tandil,AR,-37.3217,-59.1332,62.24,92,33,1.7,light rain,2022-02-04 02:54:37
195,Boende,CD,-0.2167,20.8667,67.19,93,95,3.0,overcast clouds,2022-02-04 02:54:38
196,Lahstedt,DE,52.2483,10.2325,44.98,83,100,1.99,overcast clouds,2022-02-04 02:54:38
197,Bluff,NZ,-46.6,168.3333,51.8,84,100,3.29,light rain,2022-02-04 02:54:38
198,Pontes E Lacerda,BR,-15.2261,-59.3353,72.16,97,100,2.37,overcast clouds,2022-02-04 02:51:14
199,Shache,CN,38.4167,77.2406,27.1,42,95,3.6,overcast clouds,2022-02-04 02:54:39
200,Bambous Virieux,MU,-20.3428,57.7575,80.85,94,75,24.16,light rain,2022-02-04 02:54:39
201,Vila,PT,42.0304,-8.1588,42.33,85,100,3.04,overcast clouds,2022-02-04 02:50:13
202,Yaan,NG,7.3833,8.5667,76.42,13,10,8.9,clear sky,2022-02-04 02:54:39
203,Ambilobe,MG,-13.2,49.05,75.36,93,97,6.93,light rain,2022-02-04 02:54:40
204,Uruana,BR,-15.4981,-49.6875,69.96,92,93,1.03,overcast clouds,2022-02-04 02:54:40
205,La Roda,ES,39.2167,-2.15,46.9,66,68,8.97,broken clouds,2022-02-04 02:54:40
206,Takoradi,GH,4.8845,-1.7554,78.49,84,2,5.53,clear sky,2022-02-04 02:54:41
207,Ende,ID,-8.8432,121.6623,84.11,73,77,7.25,broken clouds,2022-02-04 02:54:41
208,Padang,ID,-0.9492,100.3543,80.65,70,92,2.55,overcast clouds,2022-02-04 02:52:13
209,Oriximina,BR,-1.7656,-55.8661,75.67,90,99,5.82,overcast clouds,2022-02-04 02:50:08
